Série;Nota Fiscal;Filial Origem
15;11713;335
15;1587;203
10;1327423;973
10;1327544;973
10;1327600;973
10;1327603;973
10;1327605;973
11;502966;973
11;502967;973
11;502969;973
11;503078;973
12;488976;973
12;489039;973
12;489047;973
12;489050;973
12;489066;973
12;489072;973
12;489074;973
13;460326;973
13;460329;973
13;460331;973
13;460347;973
13;460349;973
13;460350;973
14;462458;973
14;462461;973
14;462463;973
14;462480;973
14;462484;973
14;462490;973
10;1327218;973
10;1327353;973
11;503258;973
12;489310;973
12;489311;973
12;489312;973
12;489313;973
12;489314;973
10;1328087;973
11;503413;973
11;503414;973
11;503415;973
11;503416;973
11;503467;973
13;460799;973
13;460801;973
13;460802;973
14;462849;973
10;1328557;973
10;1328558;973
10;1328563;973
10;1328585;973
10;1328591;973
11;503730;973
11;503761;973
12;489818;973
12;489819;973
12;489822;973
12;489823;973
12;489826;973
10;1328932;973
10;1329219;973
10;1329225;973
11;503876;973
11;503877;973
11;503878;973
11;503879;973
11;503880;973
12;490057;973
12;490156;973
13;461223;973
13;461226;973
13;461227;973
13;461228;973
15;1342;171
15;11791;17
15;1189;226
15;893;235
15;9207;272
15;20447;282
15;18205;290
15;18139;298
15;11209;302
15;24791;3
15;24946;3
15;9736;327
15;11954;346
15;1367;352
16;5755;377
15;13651;380
15;16585;381
15;7834;392
15;23267;40
15;19731;42
15;6548;429
15;4753;435
15;3525;457
15;2326;458
15;2859;483
15;16287;62
15;8671;74
15;11100;75
15;11171;89
10;1329379;973
10;1329758;973
11;504285;973
12;490429;973
12;490430;973
12;490431;973
12;490432;973
12;490433;973
12;490472;973
13;461297;973
13;461302;973
13;461445;973
15;26566;117
15;2499;146
15;1762;153
15;31007;154
15;2230;186
15;7475;198
15;5415;209
15;19356;238
15;18710;248
15;5525;255
15;16704;26
15;10111;299
15;13764;307
15;14240;317
15;24251;319
15;13029;320
15;11860;330
15;13166;337
15;7406;342
15;17828;356
15;17830;356
15;1199;359
15;7685;378
15;7817;392
15;7412;424
15;4267;465
15;3182;471
15;1378;481
15;2138;485
15;1942;490
15;31608;5
15;31610;5
15;15015;54
15;1931;67
15;11113;75
15;13119;87
10;1328477;973
11;504472;973
11;504473;973
11;504474;973
11;504476;973
11;504477;973
11;504523;973
11;504534;973
12;490773;973
12;490789;973
12;490865;973
12;490899;973
13;461698;973
13;461708;973
13;461710;973
13;461711;973
13;461712;973
14;463666;973
15;8703;109
15;18630;121
15;11766;129
15;45109;14
15;45111;14
15;45112;14
15;16119;142
15;10067;155
15;2544;178
15;14173;180
15;11497;193
15;27800;197
15;2573;199
15;2580;199
15;2258;205
15;11926;210
15;2635;227
15;6836;242
16;447;243
15;20473;282
15;8545;283
15;10305;316
15;13034;320
15;13813;349
15;21261;35
15;9034;355
15;16280;360
15;3239;362
15;7986;39
15;13585;395
15;5850;400
15;5996;411
15;6942;4
15;4031;441
15;32106;44
15;32107;44
15;21106;45
15;21109;45
15;21113;45
15;2114;482
15;2865;483
15;1752;494
15;777;495
15;780;495
15;11295;58
15;11296;58
15;10289;86
15;9113;93
10;1330030;973
10;1330031;973
10;1330032;973
10;1330073;973
10;1330499;973
10;1330516;973
10;1330517;973
10;1330518;973
10;1330519;973
10;1330522;973
11;504815;973
11;504821;973
11;504847;973
11;504850;973
12;490994;973
12;491035;973
12;491036;973
12;491037;973
12;491038;973
12;491039;973
12;491040;973
13;461764;973
13;461794;973
13;461797;973
14;463952;973
15;20993;104
15;12396;119
15;19848;138
15;8968;143
15;1743;253
15;9099;361
15;12431;373
15;7937;410
15;2887;41
15;10414;47
15;31596;5
10;1330440;973
11;504926;973
11;504930;973
15;14740;103
15;20995;104
15;19628;141
15;45135;14
15;13313;177
15;27810;197
15;2273;205
15;21390;217
15;14882;236
16;6783;246
15;5491;255
15;1732;257
15;9482;276
15;10121;299
15;9606;313
15;9608;313
15;24263;319
15;23543;328
15;24796;33
15;17840;356
15;9104;361
15;4779;435
15;3224;461
15;2774;464
15;3188;471
15;2111;482
15;2039;484
15;9334;59
15;7492;7
10;1330550;973
10;1330555;973
10;1330652;973
10;1330656;973
10;1330832;973
10;1330839;973
10;1330872;973
10;1330897;973
10;1330903;973
10;1330907;973
10;1330938;973
10;1330939;973
10;1330940;973
10;1330941;973
10;1330942;973
10;1330948;973
10;1330951;973
10;1330963;973
10;1330978;973
10;1330980;973
10;1330981;973
10;1330989;973
10;1331011;973
10;1331015;973
10;1331028;973
10;1331033;973
10;1331068;973
10;1331120;973
10;1331170;973
10;1331181;973
10;1331183;973
10;1331185;973
10;1331191;973
10;1331232;973
11;504954;973
11;504964;973
11;504971;973
11;504991;973
11;504994;973
11;504997;973
11;505002;973
11;505011;973
11;505016;973
11;505029;973
11;505030;973
11;505031;973
11;505032;973
11;505033;973
11;505054;973
11;505067;973
11;505071;973
11;505087;973
11;505118;973
12;490979;973
12;491254;973
12;491269;973
12;491274;973
12;491280;973
12;491285;973
12;491297;973
12;491331;973
12;491368;973
12;491382;973
12;491387;973
12;491436;973
12;491445;973
12;491447;973
13;461997;973
13;462000;973
13;462003;973
13;462004;973
13;462124;973
13;462130;973
13;462133;973
13;462155;973
13;462191;973
13;462193;973
13;462195;973
13;462196;973
13;462197;973
13;462216;973
14;463931;973
14;463937;973
14;463995;973
14;463998;973
14;464015;973
14;464018;973
14;464073;973
14;464087;973
14;464091;973
14;464100;973
14;464113;973
14;464117;973
14;464147;973
14;464231;973
15;29017;10
15;29018;10
15;29020;10
15;29022;10
15;20727;104
15;8459;110
15;11083;11
15;9220;118
15;1999;12
15;10557;123
15;8086;130
15;8087;130
15;10276;134
15;19786;138
15;19787;138
15;19788;138
15;12987;139
15;45158;14
15;45175;14
15;16435;144
15;30795;149
15;17201;156
15;5422;165
15;1517;166
15;18203;170
15;11879;179
15;11475;187
15;11814;188
15;11854;188
15;11321;194
15;2595;199
15;2596;199
15;2603;199
15;1615;203
15;2272;205
15;2279;205
15;7319;206
15;8233;207
15;15418;212
15;21398;217
15;8154;234
15;19379;238
15;19380;238
15;12770;239
15;18740;248
15;18741;248
15;1424;262
15;9170;263
15;9174;263
15;1354;265
15;9488;276
15;1479;277
15;16613;280
15;12692;281
15;13136;28
15;549;291
15;19305;292
15;17475;296
15;8086;300
15;15423;303
15;12555;310
15;14261;311
15;14266;311
15;9139;31
15;9605;313
15;9611;313
15;9612;313
15;14263;317
15;13163;337
15;13165;337
15;13181;337
15;13182;337
15;13256;337
15;11439;340
15;11385;343
15;11425;343
15;21035;345
15;11982;346
16;17643;348
15;16299;360
15;16302;360
15;12435;36
16;11168;368
16;11312;368
16;11313;368
15;9475;370
15;14508;372
15;14510;372
15;12441;373
15;12442;373
15;16509;381
15;16511;381
15;16602;381
15;16604;381
15;12316;387
15;5417;390
15;5418;390
15;7594;391
15;7595;391
15;7596;391
15;7597;391
15;7839;392
15;1985;396
15;1987;396
15;8602;399
15;23305;40
15;3516;404
15;2900;41
15;2904;41
15;4790;412
15;4776;413
15;5936;415
15;7692;416
15;4769;432
15;5267;433
15;1986;452
15;1823;476
15;1545;487
15;2264;488
15;2269;488
15;1402;489
15;1756;494
15;10659;50
15;31671;5
15;20113;53
15;15029;54
15;12741;65
15;9083;66
15;24712;69
15;24814;69
15;9775;76
15;9781;76
16;4679;82
15;10301;86
15;15085;88
15;1465;94
15;1501;94
15;1502;94
15;14621;97
10;1330953;973
10;1330954;973
10;1330955;973
10;1330956;973
10;1330957;973
10;1331291;973
10;1331292;973
10;1331293;973
10;1331294;973
10;1331295;973
10;1331297;973
10;1331298;973
10;1331299;973
10;1331300;973
10;1331302;973
10;1331303;973
10;1331304;973
10;1331305;973
10;1331308;973
10;1331309;973
10;1331310;973
10;1331311;973
10;1331312;973
10;1331313;973
10;1331316;973
10;1331317;973
10;1331318;973
10;1331319;973
10;1331320;973
10;1331321;973
10;1331322;973
10;1331323;973
10;1331324;973
10;1331325;973
10;1331326;973
10;1331330;973
10;1331337;973
10;1331343;973
10;1331344;973
10;1331345;973
10;1331346;973
10;1331350;973
10;1331351;973
10;1331352;973
10;1331353;973
10;1331354;973
10;1331355;973
10;1331360;973
10;1331361;973
10;1331362;973
10;1331363;973
10;1331364;973
10;1331365;973
10;1331382;973
10;1331383;973
10;1331384;973
10;1331388;973
10;1331389;973
10;1331420;973
10;1331421;973
10;1331422;973
10;1331423;973
10;1331424;973
10;1331425;973
10;1331426;973
10;1331427;973
10;1331428;973
10;1331429;973
10;1331445;973
10;1331446;973
10;1331447;973
10;1331448;973
10;1331449;973
10;1331450;973
10;1331456;973
10;1331462;973
10;1331502;973
10;1331503;973
10;1331504;973
10;1331505;973
10;1331506;973
10;1331514;973
10;1331515;973
10;1331516;973
10;1331517;973
10;1331518;973
10;1331521;973
10;1331522;973
10;1331523;973
10;1331524;973
10;1331525;973
10;1331529;973
10;1331530;973
10;1331531;973
10;1331532;973
10;1331533;973
10;1331541;973
10;1331542;973
10;1331543;973
10;1331544;973
10;1331545;973
10;1331553;973
10;1331554;973
10;1331555;973
10;1331556;973
10;1331557;973
10;1331558;973
10;1331581;973
10;1331582;973
10;1331583;973
10;1331585;973
10;1331625;973
10;1331626;973
10;1331627;973
10;1331628;973
10;1331629;973
10;1331630;973
10;1331633;973
10;1331641;973
10;1331642;973
10;1331643;973
10;1331644;973
10;1331646;973
10;1331648;973
10;1331649;973
10;1331650;973
10;1331651;973
10;1331653;973
10;1331655;973
10;1331656;973
10;1331657;973
10;1331658;973
10;1331666;973
10;1331667;973
10;1331668;973
10;1331669;973
10;1331670;973
10;1331671;973
10;1331672;973
10;1331673;973
10;1331690;973
10;1331691;973
10;1331692;973
10;1331693;973
10;1331694;973
10;1331702;973
10;1331705;973
10;1331712;973
10;1331713;973
10;1331714;973
10;1331717;973
10;1331718;973
10;1331719;973
10;1331721;973
10;1331722;973
10;1331723;973
10;1331725;973
10;1331726;973
10;1331727;973
10;1331728;973
10;1331729;973
10;1331731;973
10;1331732;973
10;1331733;973
10;1331734;973
10;1331735;973
10;1331743;973
10;1331752;973
10;1331755;973
10;1331759;973
10;1331783;973
10;1331799;973
10;1331806;973
10;1331807;973
10;1331808;973
10;1331809;973
10;1331810;973
10;1331818;973
10;1331819;973
10;1331820;973
10;1331821;973
10;1331822;973
10;1331823;973
10;1331824;973
10;1331826;973
10;1331827;973
10;1331828;973
10;1331833;973
10;1331834;973
10;1331835;973
10;1331844;973
10;1331845;973
10;1331846;973
10;1331847;973
10;1331848;973
10;1331849;973
10;1331850;973
11;505255;973
11;505258;973
11;505270;973
11;505273;973
11;505291;973
11;505292;973
11;505293;973
11;505294;973
11;505296;973
11;505298;973
11;505299;973
11;505300;973
11;505301;973
11;505302;973
11;505303;973
11;505304;973
11;505305;973
11;505315;973
11;505316;973
11;505317;973
11;505318;973
11;505319;973
11;505320;973
11;505321;973
11;505322;973
11;505323;973
11;505324;973
11;505325;973
11;505326;973
11;505334;973
11;505335;973
11;505336;973
11;505337;973
11;505338;973
11;505339;973
11;505342;973
11;505343;973
11;505344;973
11;505345;973
11;505346;973
11;505347;973
11;505367;973
11;505368;973
11;505369;973
11;505370;973
11;505371;973
11;505372;973
11;505373;973
11;505378;973
11;505381;973
11;505382;973
11;505383;973
11;505384;973
11;505385;973
11;505387;973
11;505388;973
11;505389;973
11;505390;973
11;505391;973
11;505392;973
11;505407;973
11;505408;973
11;505409;973
11;505410;973
11;505411;973
11;505412;973
11;505425;973
11;505444;973
11;505445;973
11;505447;973
11;505448;973
11;505449;973
11;505450;973
11;505452;973
11;505453;973
11;505454;973
11;505455;973
11;505456;973
11;505457;973
11;505459;973
11;505460;973
11;505461;973
11;505462;973
11;505463;973
11;505472;973
11;505473;973
11;505474;973
11;505475;973
11;505476;973
11;505477;973
11;505479;973
11;505480;973
11;505481;973
11;505482;973
11;505483;973
11;505484;973
11;505485;973
11;505486;973
11;505487;973
11;505488;973
11;505490;973
11;505492;973
11;505493;973
11;505494;973
11;505495;973
11;505496;973
11;505497;973
12;491236;973
12;491237;973
12;491238;973
12;491240;973
12;491528;973
12;491531;973
12;491532;973
12;491533;973
12;491534;973
12;491535;973
12;491536;973
12;491542;973
12;491547;973
12;491549;973
12;491558;973
12;491561;973
12;491562;973
12;491563;973
12;491564;973
12;491566;973
12;491574;973
12;491575;973
12;491576;973
12;491577;973
12;491578;973
12;491588;973
12;491596;973
12;491598;973
12;491605;973
12;491607;973
12;491608;973
12;491609;973
12;491610;973
12;491614;973
12;491626;973
12;491628;973
12;491629;973
12;491630;973
12;491631;973
12;491632;973
12;491649;973
12;491656;973
12;491657;973
12;491658;973
12;491659;973
12;491660;973
12;491677;973
12;491713;973
12;491716;973
12;491717;973
12;491718;973
12;491719;973
12;491720;973
12;491721;973
12;491752;973
12;491753;973
12;491777;973
12;491778;973
12;491779;973
12;491780;973
12;491781;973
12;491782;973
12;491784;973
12;491785;973
12;491786;973
12;491787;973
12;491788;973
12;491789;973
12;491790;973
12;491792;973
12;491793;973
12;491794;973
12;491795;973
12;491796;973
12;491798;973
12;491799;973
12;491800;973
12;491801;973
12;491802;973
12;491804;973
12;491805;973
12;491806;973
12;491807;973
12;491808;973
12;491810;973
12;491811;973
12;491812;973
12;491813;973
12;491814;973
12;491821;973
12;491822;973
12;491824;973
12;491825;973
12;491826;973
12;491828;973
12;491829;973
12;491831;973
12;491832;973
12;491835;973
12;491836;973
12;491837;973
12;491838;973
12;491839;973
12;491840;973
12;491841;973
12;491842;973
12;491843;973
12;491844;973
13;462068;973
13;462225;973
13;462242;973
13;462252;973
13;462261;973
13;462263;973
13;462269;973
13;462270;973
13;462271;973
13;462272;973
13;462273;973
13;462274;973
13;462289;973
13;462290;973
13;462291;973
13;462292;973
13;462293;973
13;462294;973
13;462296;973
13;462297;973
13;462298;973
13;462299;973
13;462300;973
13;462301;973
13;462316;973
13;462317;973
13;462318;973
13;462319;973
13;462321;973
13;462330;973
13;462332;973
13;462337;973
13;462338;973
13;462339;973
13;462340;973
13;462341;973
13;462342;973
13;462344;973
13;462345;973
13;462346;973
13;462347;973
13;462349;973
13;462365;973
13;462366;973
13;462367;973
13;462368;973
13;462369;973
13;462371;973
13;462372;973
13;462373;973
13;462374;973
13;462375;973
13;462394;973
13;462397;973
13;462398;973
13;462400;973
13;462401;973
13;462402;973
13;462403;973
13;462406;973
13;462407;973
13;462408;973
13;462409;973
13;462410;973
13;462411;973
13;462412;973
13;462413;973
13;462414;973
13;462415;973
13;462416;973
13;462417;973
13;462418;973
13;462419;973
13;462422;973
13;462423;973
13;462424;973
13;462425;973
13;462426;973
13;462427;973
13;462447;973
13;462448;973
13;462449;973
13;462450;973
13;462451;973
13;462452;973
13;462453;973
14;457074;973
14;463153;973
14;464006;973
14;464009;973
14;464251;973
14;464252;973
14;464253;973
14;464254;973
14;464256;973
14;464257;973
14;464258;973
14;464259;973
14;464260;973
14;464274;973
14;464275;973
14;464276;973
14;464277;973
14;464278;973
14;464296;973
14;464297;973
14;464298;973
14;464299;973
14;464300;973
14;464301;973
14;464302;973
14;464303;973
14;464304;973
14;464305;973
14;464306;973
14;464307;973
14;464308;973
14;464317;973
14;464318;973
14;464319;973
14;464320;973
14;464321;973
14;464323;973
14;464324;973
14;464325;973
14;464326;973
14;464327;973
14;464331;973
14;464332;973
14;464375;973
14;464378;973
14;464388;973
14;464400;973
14;464401;973
14;464402;973
14;464403;973
14;464405;973
14;464406;973
14;464407;973
14;464408;973
14;464410;973
14;464411;973
15;28799;10
15;2078;102
15;14908;108
15;1934;114
15;10997;1
15;18652;121
15;18653;121
15;10560;123
15;8927;125
15;1334;131
15;1354;13
15;9981;133
15;552;137
15;12926;139
15;12927;139
15;16437;144
15;2402;148
15;2410;148
15;30804;149
15;14547;152
15;31042;154
15;17203;156
15;3513;159
15;3526;159
15;3365;162
15;3381;162
15;3383;162
15;1494;164
15;4674;168
15;18207;170
15;11465;176
15;11468;176
15;11548;176
15;11551;176
15;11552;176
15;11554;176
15;2552;178
15;8591;191
15;11511;193
15;7457;198
15;7458;198
15;7466;198
15;15469;201
15;2238;21
15;2269;21
15;1440;214
15;21272;217
15;14289;218
15;14896;236
15;11443;241
15;7537;245
16;6801;246
15;18745;248
15;1663;253
15;1183;256
15;1427;262
15;2134;264
15;8637;274
15;17481;296
15;17484;296
15;8091;300
15;2219;304
15;13777;307
15;13779;307
15;13781;307
15;13783;307
15;12556;310
15;12557;310
15;9143;31
15;3844;312
15;24993;3
15;24998;3
15;12483;322
15;12485;322
15;12487;322
15;12488;322
15;12489;322
15;24816;33
15;11838;335
15;7402;34
15;21039;345
15;21282;35
15;9041;355
15;9042;355
15;9043;355
15;17853;356
15;16330;358
15;16334;358
15;16335;358
15;16336;358
15;16337;358
15;16395;358
15;16396;358
15;1212;359
15;1213;359
16;11310;368
15;12048;369
15;12049;369
15;12051;369
15;9660;371
15;13681;380
15;16510;381
15;16512;381
15;16603;381
15;16606;381
16;6857;394
15;2907;41
15;4777;413
15;4778;413
15;4402;414
15;6950;4
15;4788;421
15;7497;424
15;5728;427
15;5733;427
15;4681;430
15;4776;432
15;5270;433
15;21138;45
15;2794;460
15;1748;474
15;1355;481
15;1356;481
15;2470;488
15;726;495
15;1826;496
15;1853;496
15;1854;496
15;1855;496
15;1860;496
15;31664;5
15;31683;5
15;20122;53
15;20123;53
15;11303;58
15;8533;6
15;8535;6
15;8536;6
15;12739;65
15;32610;72
15;17864;73
15;9728;76
15;11793;79
15;16696;8
15;16697;8
15;11191;89
15;11147;90
15;9130;93
15;14623;97
10;1314862;973
10;1314980;973
10;1314982;973
10;1316266;973
10;1330858;973
10;1330859;973
10;1330860;973
10;1330861;973
10;1330862;973
10;1331271;973
10;1331272;973
10;1331273;973
10;1331274;973
10;1331275;973
10;1331278;973
10;1331279;973
10;1331280;973
10;1331281;973
10;1331282;973
10;1331284;973
10;1331285;973
10;1331286;973
10;1331287;973
10;1331288;973
10;1331340;973
10;1331341;973
10;1331342;973
10;1331349;973
10;1331366;973
10;1331367;973
10;1331368;973
10;1331369;973
10;1331370;973
10;1331371;973
10;1331373;973
10;1331374;973
10;1331375;973
10;1331376;973
10;1331377;973
10;1331378;973
10;1331379;973
10;1331380;973
10;1331381;973
10;1331390;973
10;1331391;973
10;1331392;973
10;1331393;973
10;1331394;973
10;1331395;973
10;1331396;973
10;1331397;973
10;1331398;973
10;1331399;973
10;1331402;973
10;1331403;973
10;1331404;973
10;1331405;973
10;1331406;973
10;1331408;973
10;1331409;973
10;1331410;973
10;1331411;973
10;1331412;973
10;1331414;973
10;1331415;973
10;1331416;973
10;1331417;973
10;1331418;973
10;1331433;973
10;1331435;973
10;1331436;973
10;1331437;973
10;1331438;973
10;1331439;973
10;1331440;973
10;1331441;973
10;1331442;973
10;1331451;973
10;1331452;973
10;1331453;973
10;1331454;973
10;1331455;973
10;1331812;973
10;1331813;973
10;1331814;973
10;1331815;973
10;1331816;973
10;1331854;973
10;1331855;973
10;1331856;973
10;1331857;973
10;1331859;973
10;1331860;973
10;1331861;973
10;1331862;973
10;1331864;973
10;1331865;973
10;1331866;973
10;1331867;973
10;1331874;973
10;1331875;973
10;1331876;973
10;1331877;973
10;1331880;973
10;1331881;973
10;1331882;973
10;1331883;973
10;1331884;973
10;1331885;973
10;1331886;973
10;1331887;973
10;1331890;973
10;1331891;973
10;1331892;973
10;1331893;973
10;1331894;973
10;1331896;973
10;1331897;973
10;1331898;973
10;1331900;973
10;1331901;973
10;1331903;973
10;1331904;973
10;1331905;973
10;1331906;973
10;1331908;973
10;1331909;973
10;1331910;973
10;1331912;973
10;1331913;973
10;1331914;973
10;1331915;973
10;1331918;973
10;1331919;973
10;1331920;973
10;1331921;973
10;1331922;973
10;1331923;973
10;1331926;973
10;1331927;973
10;1331928;973
10;1331929;973
10;1331930;973
10;1331931;973
10;1331932;973
10;1331933;973
10;1331935;973
10;1331936;973
10;1331937;973
10;1331939;973
10;1331941;973
10;1331942;973
10;1331943;973
10;1331944;973
10;1331946;973
10;1331948;973
10;1331949;973
10;1331950;973
10;1331951;973
10;1331953;973
10;1331954;973
10;1331955;973
10;1331956;973
10;1331957;973
